Product Name,Brand,SKU
JBL NC þráðlaus barnaheyrnartól,JBL,JBL-JR470NCBLU
Sandisk Ultra Dual Drive Go USB Type-C 64GB,Sandisk,SDI-SDDDC3064G
"LG 65"" QNED UHD Smart sjónvarp",LG,LG-65QNED85A6C
"Lenco Ferða DVD 9"" MP3",Lenco,LEN-DVP901BK
"Vogels Útdraganleg og hallanleg veggfesting fyrir 32"" - 65"" Sjónvarp",Vogel's,VOG-TVM3425
Le Creuset Steypujárnspottur 26cm Djúpur,Le Creuset,LEC-21195260602430
Alligator safnbox fyrir chopper,Alligator,ALL-3074
Belid Veggljós úti Max svart,Belid,BLD-71108609
JBL Partybox 520 ferðahátalari,JBL,JBL-PARTYBOX520
Aqara Pro Öryggismyndavél með brú Grá (Ethernet),Aqara,AQA-CHC03DG
